customer_id,type_cd,age,created_at,end_date
200001,B,70,30/05/2025,04/02/2027
200002,B,45,12/04/2024,
200003,A,40,04/02/2025,
200004,A,50,20/01/2025,
200005,B,57,22/07/2024,21/11/2024
200006,A,33,24/01/2022,
200007,A,42,01/01/2022,
200008,A,42,05/05/2024,
200009,B,58,07/01/2023,
200010,A,43,12/04/2025,
200011,X,33,18/06/2025,24/11/2026
200012,P,51,22/02/2022,
200013,P,47,30/03/2025,
200014,A,47,07/08/2022,
200015,P,44,20/05/2023,
200016,A,26,04/07/2022,
200017,B,41,09/11/2022,
200018,A,38,29/11/2022,
200019,B,36,23/12/2023,
200020,A,43,08/12/2023,
200021,P,33,25/04/2023,
200022,A,39,20/05/2024,
200023,A,40,15/06/2023,
200024,A,56,28/04/2023,
200025,P,52,15/07/2023,
200026,A,45,06/09/2022,
200027,A,54,14/01/2023,
200028,A,57,14/06/2022,
200029,A,53,22/05/2025,
200030,P,49,17/11/2022,
200031,P,44,11/10/2022,
200032,P,28,03/05/2025,
200033,P,44,21/01/2023,
200034,A,64,10/03/2023,
200035,P,53,28/09/2023,
200036,A,45,13/12/2024,
200037,B,35,17/04/2023,
200038,A,40,21/05/2023,
200039,B,33,30/03/2024,
200040,A,50,04/07/2025,
200041,P,44,01/06/2023,
200043,A,32,17/04/2022,
200044,B,34,12/12/2023,
200045,B,62,12/10/2024,21/06/2025
200046,B,48,18/06/2023,01/01/2025
200047,A,58,22/09/2024,
200048,X,45,13/01/2022,
200049,P,47,21/11/2024,
200050,P,38,20/05/2025,
200051,A,18,24/01/2022,
200052,A,45,26/01/2022,
200053,A,18,26/04/2025,
200054,A,58,30/01/2022,
200055,B,52,29/10/2024,
200056,B,56,28/04/2024,
200057,B,68,12/11/2024,25/10/2025
200058,X,77,14/02/2022,15/01/2023
200059,A,48,14/01/2022,
200060,P,45,09/05/2025,
200061,A,46,27/02/2023,
200062,X,60,15/03/2023,
200063,A,18,23/02/2022,
200064,B,39,18/02/2023,24/09/2023
200065,A,43,19/04/2022,
200066,A,40,27/12/2022,
200067,B,61,04/03/2022,
200068,B,51,23/10/2022,
200069,A,52,18/05/2022,
200070,B,57,21/02/2023,16/02/2024
200071,A,45,04/08/2023,
200072,B,42,19/07/2023,
200073,P,58,18/12/2024,
200074,A,31,02/03/2023,
200075,B,44,02/08/2023,
200087,B,41,12/02/2025,
200088,B,32,18/10/2023,
200089,B,53,27/11/2023,09/03/2026
200090,P,47,06/10/2022,
200091,A,22,13/10/2022,
200092,A,44,21/10/2024,
200093,B,28,08/07/2024,
200094,A,60,30/03/2023,
200095,P,52,23/10/2023,
200096,A,37,25/07/2024,
200097,P,38,24/05/2022,
200098,A,26,23/10/2023,
200099,A,37,12/01/2023,
200100,B,58,01/02/2025,
200101,B,27,18/02/2024,
200102,A,39,29/08/2024,
200103,A,52,24/12/2022,
200104,A,64,23/07/2025,
200105,P,55,08/03/2024,
200106,A,46,19/09/2023,
200107,A,61,08/03/2022,
200108,B,40,26/02/2022,
200109,B,70,27/02/2023,01/07/2024
200110,B,58,22/02/2025,13/06/2025
200111,B,54,13/05/2025,01/09/2026
200112,B,56,06/06/2025,
200113,A,49,11/08/2023,
200114,A,47,13/05/2022,
200115,B,24,22/07/2024,
200116,A,41,09/08/2022,
200117,B,32,09/06/2023,
200118,B,22,30/05/2024,03/02/2025
200119,P,47,02/12/2024,
200120,A,35,30/11/2024,
200121,A,38,15/03/2025,
200122,B,64,29/06/2025,
200123,A,55,08/01/2022,
200124,A,44,11/11/2022,
200125,A,45,10/02/2023,
