order_id,cust_no,product_cd,amount_eur
9000001,208363,P1004,82.73
9000002,202719,P1003,132.79
9000003,209433,P1006,30.73
9000004,203789,P1004,150.29
9000005,202442,P1005,44.8
9000006,209537,P1002,-1
9000007,207687,P1002,47.58
9000008,208089,P1001,40.69
9000009,211822,P1004,2.96
9000010,204678,P1004,160.44
9000011,210040,P1001,84.88
9000012,203981,P1003,173.15
9000013,206788,P1003,86.9
9000014,207156,P1006,147.78
9000015,202550,P1005,124.53
9000016,202234,P1006,131.87
9000017,202741,P1001,50.64
9000018,208047,P1006,75.34
9000019,207338,P1001,205.4
9000020,211264,P1001,127.19
9000021,208446,P1006,44.16
9000022,202970,P1002,37.17
9000023,210943,P1006,169.95
9000024,211349,P1005,329.59
9000025,208760,P1005,135.9
9000026,207981,P1006,128.01
9000027,201563,P1002,46.35
9000028,201147,P1003,193.81
9000029,203186,P1004,88.8
9000030,205285,P1003,81.51
9000031,200866,P1004,97.34
9000032,210603,P1002,45.09
9000033,205670,P1001,166.15
9000034,208342,P1003,41.02
9000035,202543,P1006,19.73
9000036,203905,P1004,42.1
9000037,201388,P1001,312.07
9000038,208778,P1003,79.33
9000039,209261,P1004,53.44
9000040,202633,P1004,26.18
9000041,208552,P1004,128.47
9000042,200976,P1001,16.66
9000043,204684,P1006,18.72
9000044,201913,P1003,123.12
9000045,208899,P1002,36.58
9000046,204068,P1001,27.6
9000047,205662,P1005,39.73
9000048,205564,P1006,117.67
9000049,205688,P1004,117.06
9000050,203187,P1001,61.3
9000051,206675,P1006,76.89
9000052,209757,P1005,94.68
9000053,205965,P1004,198.03
9000054,202312,P1003,78.32
9000055,200292,P1003,73.78
9000056,201549,P1003,56.73
9000057,200975,P1006,161.07
9000058,201097,P1002,206.03
9000059,201465,P1004,155.61
9000060,207159,P1003,66.17
9000061,209653,P1004,56.32
9000062,210223,P1002,79.52
9000063,207815,P1001,133.83
9000064,207196,P1006,22.68
9000065,203967,P1002,89.74
9000066,211147,P1002,53.39
9000067,207662,P1005,67.79
9000068,208669,P1006,189.08
9000069,208778,P1002,115.51
9000070,210293,P1002,83
9000071,208403,P1006,116.97
9000072,211115,P1003,92
9000073,206476,P1003,149.97
9000074,206533,P1004,220.63
9000075,203003,P1005,110.12
9000076,211215,P1001,91.73
9000077,206614,P1005,78.38
9000078,205921,P1002,106.78
9000079,203784,P1006,11.88
9000080,203275,P1004,114.88
9000081,207574,P1005,139.1
9000082,205404,P1005,97.2
9000083,206794,P1006,190.57
9000084,207954,P1001,34.49
9000085,210753,P1004,114.93
9000086,203958,P1001,122.15
9000087,208152,P1006,179.51
9000088,210806,P1004,174.16
9000089,205489,P1002,55.73
9000090,203075,P1002,99.2
